Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=16384 / log(q)=438 / CKKS / EncryptPublic/iterations:10                 17711 us        17711 us           10
n=16384 / log(q)=438 / CKKS / Decrypt/iterations:10                         672 us          672 us           10
n=16384 / log(q)=438 / CKKS / EncodeDouble/iterations:10                   2946 us         2946 us           10
n=16384 / log(q)=438 / CKKS / DecodeDouble/iterations:10                   9966 us         9966 us           10
n=16384 / log(q)=438 / CKKS / EvaluateAddCt/iterations:10                   747 us          747 us           10
n=16384 / log(q)=438 / CKKS / EvaluateAddPt/iterations:10                   484 us          484 us           10
n=16384 / log(q)=438 / CKKS / EvaluateNegate/iterations:10                  561 us          563 us           10
n=16384 / log(q)=438 / CKKS / EvaluateSubCt/iterations:10                   624 us          624 us           10
n=16384 / log(q)=438 / CKKS / EvaluateSubPt/iterations:10                   485 us          485 us           10
n=16384 / log(q)=438 / CKKS / EvaluateMulCt/iterations:10                  2363 us         2363 us           10
n=16384 / log(q)=438 / CKKS / EvaluateMulPt/iterations:10                  1204 us         1204 us           10
n=16384 / log(q)=438 / CKKS / EvaluateSquare/iterations:10                 1781 us         1781 us           10
n=16384 / log(q)=438 / CKKS / EvaluateRescaleInplace/iterations:10         4438 us         4439 us           10
n=16384 / log(q)=438 / CKKS / EvaluateRelinInplace/iterations:10          24734 us        24735 us           10
n=16384 / log(q)=438 / CKKS / EvaluateRotate/iterations:10                26215 us        26215 us           10
n=16384 / log(q)=438 / UTIL / NTTForward/iterations:10                     4697 us         4694 us           10
n=16384 / log(q)=438 / UTIL / NTTInverse/iterations:10                     3748 us         3748 us           10
n=16384 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                273 us          272 us           10
n=16384 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                215 us          215 us           10
n=16384 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            192 us          192 us           10
n=16384 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            198 us          198 us           10
n=32768 / log(q)=881 / KeyGen / Secret/iterations:10                      14242 us        14237 us           10
n=32768 / log(q)=881 / KeyGen / Public/iterations:10                      32253 us        32254 us           10
n=32768 / log(q)=881 / KeyGen / Relin/iterations:10                      494890 us       494849 us           10
n=32768 / log(q)=881 / KeyGen / Galois/iterations:10                     498100 us       498073 us           10
n=32768 / log(q)=881 / BFV / EncryptSecret/iterations:10                  37817 us        37819 us           10
n=32768 / log(q)=881 / BFV / EncryptPublic/iterations:10                  47158 us        47159 us           10
n=32768 / log(q)=881 / BFV / Decrypt/iterations:10                        21306 us        21306 us           10
n=32768 / log(q)=881 / BFV / EncodeBatch/iterations:10                      533 us          534 us           10
n=32768 / log(q)=881 / BFV / DecodeBatch/iterations:10                     2263 us         2263 us           10
n=32768 / log(q)=881 / BFV / EvaluateAddCt/iterations:10                   3584 us         3584 us           10
n=32768 / log(q)=881 / BFV / EvaluateAddPt/iterations:10                   4983 us         4984 us           10
n=32768 / log(q)=881 / BFV / EvaluateNegate/iterations:10                  2209 us         2209 us           10
n=32768 / log(q)=881 / BFV / EvaluateSubCt/iterations:10                   2629 us         2625 us           10
n=32768 / log(q)=881 / BFV / EvaluateSubPt/iterations:10                   4827 us         4825 us           10
n=32768 / log(q)=881 / BFV / EvaluateMulCt/iterations:10                 298715 us       298687 us           10
n=32768 / log(q)=881 / BFV / EvaluateMulPt/iterations:10                  42491 us        42489 us           10
n=32768 / log(q)=881 / BFV / EvaluateSquare/iterations:10                226792 us       226779 us           10
n=32768 / log(q)=881 / BFV / EvaluateModSwitchInplace/iterations:10        6743 us         6743 us           10
n=32768 / log(q)=881 / BFV / EvaluateRelinInplace/iterations:10          158695 us       158682 us           10
n=32768 / log(q)=881 / BFV / EvaluateRotateRows/iterations:10            162641 us       162636 us           10
n=32768 / log(q)=881 / BFV / EvaluateRotateCols/iterations:10            162330 us       162321 us           10
n=32768 / log(q)=881 / BGV / EncryptSecret/iterations:10                  41129 us        41128 us           10
n=32768 / log(q)=881 / BGV / EncryptPublic/iterations:10                  75524 us        75515 us           10
n=32768 / log(q)=881 / BGV / Decrypt/iterations:10                        15714 us        15715 us           10
n=32768 / log(q)=881 / BGV / EncodeBatch/iterations:10                      536 us          536 us           10
n=32768 / log(q)=881 / BGV / DecodeBatch/iterations:10                      623 us          623 us           10
n=32768 / log(q)=881 / BGV / EvaluateNegate/iterations:10                  2730 us         2730 us           10
n=32768 / log(q)=881 / BGV / EvaluateNegateInplace/iterations:10            788 us          787 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddCt/iterations:10                   3288 us         3288 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddCtInplace/iterations:10             993 us          993 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddPt/iterations:10                  12565 us        12566 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddPtInplace/iterations:10           11878 us        11878 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulCt/iterations:10                   9056 us         9056 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulCtInplace/iterations:10            7545 us         7545 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulPt/iterations:10                  15257 us        15258 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulPtInplace/iterations:10           13936 us        13936 us           10
n=32768 / log(q)=881 / BGV / EvaluateSquare/iterations:10                  9046 us         9045 us           10
n=32768 / log(q)=881 / BGV / EvaluateSquareInplace/iterations:10           7113 us         7113 us           10
n=32768 / log(q)=881 / BGV / EvaluateModSwitchInplace/iterations:10       27243 us        27243 us           10
n=32768 / log(q)=881 / BGV / EvaluateRelinInplace/iterations:10          170014 us       170001 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateRows/iterations:10            172111 us       172097 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateRowsInplace/iterations:10     171484 us       171471 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateCols/iterations:10            174074 us       174049 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateColsInplace/iterations:10     171125 us       171106 us           10
n=32768 / log(q)=881 / BGV / EvaluateToNTTInplace/iterations:10           17327 us        17327 us           10
n=32768 / log(q)=881 / BGV / EvaluateFromNTTInplace/iterations:10         13651 us        13649 us           10
n=32768 / log(q)=881 / CKKS / EncryptSecret/iterations:10                 29775 us        29776 us           10
n=32768 / log(q)=881 / CKKS / EncryptPublic/iterations:10                 60917 us        60915 us           10
n=32768 / log(q)=881 / CKKS / Decrypt/iterations:10                        2671 us         2670 us           10
n=32768 / log(q)=881 / CKKS / EncodeDouble/iterations:10                  11144 us        11143 us           10
n=32768 / log(q)=881 / CKKS / DecodeDouble/iterations:10                  63660 us        63653 us           10
n=32768 / log(q)=881 / CKKS / EvaluateAddCt/iterations:10                  3538 us         3538 us           10
n=32768 / log(q)=881 / CKKS / EvaluateAddPt/iterations:10                  1984 us         1980 us           10
n=32768 / log(q)=881 / CKKS / EvaluateNegate/iterations:10                 2373 us         2373 us           10
n=32768 / log(q)=881 / CKKS / EvaluateSubCt/iterations:10                  2965 us         2965 us           10
n=32768 / log(q)=881 / CKKS / EvaluateSubPt/iterations:10                  2048 us         2048 us           10
n=32768 / log(q)=881 / CKKS / EvaluateMulCt/iterations:10                  9539 us         9533 us           10
n=32768 / log(q)=881 / CKKS / EvaluateMulPt/iterations:10                  4908 us         4908 us           10
n=32768 / log(q)=881 / CKKS / EvaluateSquare/iterations:10                 7485 us         7485 us           10
n=32768 / log(q)=881 / CKKS / EvaluateRescaleInplace/iterations:10        18369 us        18367 us           10
n=32768 / log(q)=881 / CKKS / EvaluateRelinInplace/iterations:10         159171 us       159163 us           10
n=32768 / log(q)=881 / CKKS / EvaluateRotate/iterations:10               163151 us       163140 us           10
n=32768 / log(q)=881 / UTIL / NTTForward/iterations:10                    18566 us        18566 us           10
n=32768 / log(q)=881 / UTIL / NTTInverse/iterations:10                    15195 us        15193 us           10
n=32768 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                573 us          572 us           10
n=32768 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                451 us          451 us           10
n=32768 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            410 us          410 us           10
n=32768 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            421 us          420 us           10
[   3103 MB] Total allocation from the memory pool
