Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=2048 / log(q)=54 / BFV / EvaluateSubPt/iterations:10                     33.6 us         33.6 us           10
n=2048 / log(q)=54 / BFV / EvaluateMulCt/iterations:10                     1107 us         1108 us           10
n=2048 / log(q)=54 / BFV / EvaluateMulPt/iterations:10                      145 us          145 us           10
n=2048 / log(q)=54 / BFV / EvaluateSquare/iterations:10                     818 us          819 us           10
n=2048 / log(q)=54 / BGV / EncryptSecret/iterations:10                      280 us          279 us           10
n=2048 / log(q)=54 / BGV / EncryptPublic/iterations:10                      402 us          402 us           10
n=2048 / log(q)=54 / BGV / Decrypt/iterations:10                           61.0 us         61.0 us           10
n=2048 / log(q)=54 / BGV / EncodeBatch/iterations:10                       29.5 us         29.5 us           10
n=2048 / log(q)=54 / BGV / DecodeBatch/iterations:10                       35.0 us         35.0 us           10
n=2048 / log(q)=54 / BGV / EvaluateNegate/iterations:10                    5.54 us         5.50 us           10
n=2048 / log(q)=54 / BGV / EvaluateNegateInplace/iterations:10             3.87 us         3.86 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddCt/iterations:10                     6.28 us         6.24 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddCtInplace/iterations:10              4.72 us         4.69 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddPt/iterations:10                     47.2 us         47.2 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddPtInplace/iterations:10              45.4 us         45.4 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulCt/iterations:10                     34.2 us         34.2 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulCtInplace/iterations:10              32.1 us         32.0 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulPt/iterations:10                     54.0 us         54.0 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulPtInplace/iterations:10              53.3 us         53.3 us           10
n=2048 / log(q)=54 / BGV / EvaluateSquare/iterations:10                    26.9 us         27.0 us           10
n=2048 / log(q)=54 / BGV / EvaluateSquareInplace/iterations:10             26.4 us         26.4 us           10
n=2048 / log(q)=54 / BGV / EvaluateToNTTInplace/iterations:10              62.5 us         62.5 us           10
n=2048 / log(q)=54 / BGV / EvaluateFromNTTInplace/iterations:10            46.3 us         46.3 us           10
n=2048 / log(q)=54 / CKKS / EncryptSecret/iterations:10                     245 us          245 us           10
n=2048 / log(q)=54 / CKKS / EncryptPublic/iterations:10                     389 us          389 us           10
n=2048 / log(q)=54 / CKKS / Decrypt/iterations:10                          12.2 us         13.0 us           10
n=2048 / log(q)=54 / CKKS / EncodeDouble/iterations:10                     93.0 us         93.1 us           10
n=2048 / log(q)=54 / CKKS / DecodeDouble/iterations:10                     70.9 us         71.0 us           10
n=2048 / log(q)=54 / CKKS / EvaluateAddCt/iterations:10                    6.17 us         6.16 us           10
n=2048 / log(q)=54 / CKKS / EvaluateAddPt/iterations:10                    4.19 us         4.14 us           10
n=2048 / log(q)=54 / CKKS / EvaluateNegate/iterations:10                   4.72 us         4.69 us           10
n=2048 / log(q)=54 / CKKS / EvaluateSubCt/iterations:10                    6.53 us         6.46 us           10
n=2048 / log(q)=54 / CKKS / EvaluateSubPt/iterations:10                    3.81 us         3.76 us           10
n=2048 / log(q)=54 / CKKS / EvaluateMulCt/iterations:10                    33.1 us         33.1 us           10
n=2048 / log(q)=54 / CKKS / EvaluateMulPt/iterations:10                    15.9 us         15.8 us           10
n=2048 / log(q)=54 / CKKS / EvaluateSquare/iterations:10                   25.2 us         25.2 us           10
n=2048 / log(q)=54 / UTIL / NTTForward/iterations:10                       61.5 us         61.4 us           10
n=2048 / log(q)=54 / UTIL / NTTInverse/iterations:10                       45.8 us         45.7 us           10
n=2048 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                30.9 us         30.9 us           10
n=2048 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                22.3 us         22.3 us           10
n=2048 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            19.9 us         19.8 us           10
n=2048 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            20.8 us         20.7 us           10
n=4096 / log(q)=109 / KeyGen / Secret/iterations:10                         369 us          369 us           10
n=4096 / log(q)=109 / KeyGen / Public/iterations:10                         896 us          896 us           10
n=4096 / log(q)=109 / KeyGen / Relin/iterations:10                         1813 us         1812 us           10
n=4096 / log(q)=109 / KeyGen / Galois/iterations:10                        1890 us         1890 us           10
n=4096 / log(q)=109 / BFV / EncryptSecret/iterations:10                     822 us          822 us           10
n=4096 / log(q)=109 / BFV / EncryptPublic/iterations:10                    1333 us         1334 us           10
n=4096 / log(q)=109 / BFV / Decrypt/iterations:10                           354 us          354 us           10
n=4096 / log(q)=109 / BFV / EncodeBatch/iterations:10                      60.8 us         60.1 us           10
n=4096 / log(q)=109 / BFV / DecodeBatch/iterations:10                      67.8 us         67.8 us           10
n=4096 / log(q)=109 / BFV / EvaluateAddCt/iterations:10                    28.7 us         28.7 us           10
n=4096 / log(q)=109 / BFV / EvaluateAddPt/iterations:10                    85.8 us         85.7 us           10
n=4096 / log(q)=109 / BFV / EvaluateNegate/iterations:10                   18.5 us         18.3 us           10
n=4096 / log(q)=109 / BFV / EvaluateSubCt/iterations:10                    22.3 us         22.3 us           10
n=4096 / log(q)=109 / BFV / EvaluateSubPt/iterations:10                    82.3 us         82.3 us           10
n=4096 / log(q)=109 / BFV / EvaluateMulCt/iterations:10                    3720 us         3721 us           10
