t_start,t_end,delta,smid,warpid
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781688,133612964781738,50,0,0
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781690,133612964781740,50,0,1
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781692,133612964781742,50,0,2
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781699,133612964781744,45,0,3
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
133612964781635,133612964781732,97,0,4
